name	kind	country
AL MAYSOR GENERAL TRADING CO LLC	Company	AE
AL NASER GENERAL TRADING LLC	Company	AE
AL RHEA GENERAL TRADING LLC	Company	AE
AL-HAMD AGRO FOOD PRODUCTS PVT.LTD	Company	IN
ALAKBAROVA GUNEL	Person	UNKNOWN
ALAKBAROVA NIGAR	Person	UNKNOWN
ALBISETTI SPA	Company	IT
ALDEM CELIK	Person	TR
ALDERA PLUS LTD	Company	GB
ALDORA HALI IC VE DIS TIC. LTD.STI.	Company	TR
ALEKSANDER SPIES	Person	DE
ALEKSANDR JAGDZIJANC	Person	LV
ALEXANDER POPESCU	Person	RO
ALEXANDER SPIES	Person	DE
ALEXANDRA GOLD KUYUMCULUK SAN. VE	Company	TR
	ALEXANDRA GOLD KUYUMCULUK SANAYI	Company	TR
ALFA DIS TICARET LIMITED SIRKETI	Company	TR
ALFIDA INTERNATIONAL GENERAL	Company	AE
ALGAN METAL SANAYI VE TICARET A.S.	Company	TR
	ALGAN METAL SANAYI VE TICARET ANO	Company	TR
ALGHARABALLY NATIONAL TRADING	Company	KW
ALHELI SAS	Company	CO
ALI ARTIS	Person	TR
ALI ATAS	Person	TR
ALI NAGHIYEV	Person	AZ
ALI SAID LLC,	Company	AZ
ALIA MOHAMMED TRADING CO.(L.L.C)	Company	AE
ALIEVA KIAMALIA	Person	AZ
ALIMIRZOYEV ADIL	Person	UNKNOWN
ALIYEV RUSLAN	Company	UNKNOWN
ALIYEVA FARIDA	Person	AZ
ALKUR KAPI OTOMASYON ELEKTRONIK	Company	TR
ALL POINTS LOGISTICS CHINA LTD	Company	UNKNOWN
ALLA ARON	Person	UNKNOWN
ALLANASONS LTD	Company	IN
ALLEN LATLEY EMBASSY SERVICES AG	Company	CH
ALLIANCE CAPITAL INSAAT TELEK.SAN	Company	TR
ALLIANCE INC. CO.	Company	UNKNOWN
ALLIANZ TRAVEL	Company	DE
ALLIED EXPRESS LOGISTICS LIMITED	Company	HK
ALLIN4U LLC MOTISLUXURY	Company	US
ALMAS GASSANOV	Person	DE
ALMASA IT DISTRIBUTION FZCO	Company	AE
ALOZIRIO HOLDINGS LIMITED	Company	CY
ALP METAL TICARET	Company	TR
ALPAHA TRAVEL CONSULTANTS GMBH	Company	DE
ALPASLAN TEZ	Person	TR
ALPAY DEMIRTAS	Person	TR
ALPER SARIYILDIZ	Person	TR
ALPHA LIGHTING GROUP LIMITED	Company	HK
ALPHA NETWORK INTERNATIONAL LTD.	Company	UNKNOWN
ALPPOMPA TEKNOLOJILERI SAN. VE TIC.	Company	TR
ALPSAN ALUMINYUM VE PLASTIK PROFIL	Company	TR
ALTER MANAGEMENT LIMITED	Company	UNKNOWN
ALTINAYLAR LTD.STI.	Company	TR
ALTINBAS PETROL VE TIC.A.S.	Company	TR
ALTINKOZA MOBILYA	Person	TR
ALTINTAS ISI ITH.IHR.MAD.INS.SAN.	Company	TR
ALUNG ENTERPRISES LIMITED	Company	CY
ALVO SPOLKA Z OGRANICZONA	Company	PL
AMA CONSULTANTS PTE. LTD.	Company	SG
AMATOLA GROUP LTD.	Company	UNKNOWN
AMC TANNERY MACHINES S.R.L.	Company	IT
AME HOLDING S.R.O	Company	CZ
AMECTA LIMITED	Company	UNKNOWN
AMERIKAN HASTANESI	Company	TR
AMERITECH GENERAL TRADING LLC	Company	AE
AMORIM REVESTIMENTOS S.A	Company	PT
ANCHOR ALLIED FACTORY LTD.	Company	AE
ANDREA MONTELPARE SPA	Company	IT
ANDROMED TIBBI CIHAZLAR VE SAGLIK	Company	TR
ANGEL CAMACHO ALIMENTACION S.L	Company	ES
ANGELO GALASSO	Person	IT
ANHUI QINGFA WILLOWCRAFT GROUP	Company	CN
ANIMA SRL	Company	IT
ANLEX LOGISTICS LTD	Company	GE
ANMOL TRADING	Company	UNKNOWN
ANTCH INDUSTRIES CO.,LTD	Company	CN
ANTEKS TRADING LTD	Company	VG
ANTIQUE DESIGN	Company	UNKNOWN
ANTON SPAARGAREN	Company	NL
	ANTON SPAARGAREN BV	Company	NL
ANZHELIKA SUVOROVA	Person	UNKNOWN
AO ARCELORMITTAL TEMIRTAU	Company	KZ
AOYAMA OPTICAL FRANCE SAS	Company	FR
AP MOLLER MAERSK A/S	Company	DK
APEX DYNAMICS.,INC.	Company	US
APEX GOLD RESOURCES SDN.BHD	Company	MY
APMC FZE	Company	AE
APPOLLO (CHINA) CO., LTD	Company	CN
	APOLLO(CHINA) CO.,LTD	Company	CN
	APPOLLA (CHINA)CO LTD	Company	CN
	APPOLLO(CHINA) CO.,LTD	Company	CN
APPLIED SPECTRAL IMAGING INC.	Company	US
APSHERON	Company	UNKNOWN
AQRO-VEST MMM	Company	AZ
AQUA SRL	Company	IT
ARAL TICARET LTD STI	Company	TR
ARAMEX ABU DHABI L.L.C	Company	AE
ARAS GLOBAL TICARET VE LOJISTIK	Company	TR
	ARAS GLOBAL TIC. VE LOJ.TUR.LTD.STI	Company	TR
ARASTA DIS TICARET VE MAKINA SANAYI	Company	TR
ARCELORMITTAL TEMIRTAU,JSC	Company	KZ
ARCHITETTO MARIO PALMONELLA	Person	RO
AREA98 SRL	Company	IT
AREELORMITTAL KRYVYI RIH	Company	UA
AREK	Company	PL
AREL TIBBI URUNLER.	Person	TR
AREUM INTERNATIONAL CO. LTD	Company	HK
ARGENTA CERAMICA S.L.	Company	ES
ARGON KIMYA SANAYI VE TICARET	Company	TR
	ARGON KIMYA SANAYI VE TICARET A.S	Company	TR
	ARGON KIMYA SANAYI VE TICARET ANONI	Company	TR
ARI PETROL KIMYA END. VE TIC. A.S.	Company	TR
ARKEM ENDUSTRIYEL KIMYA SAN.VE TIC	Company	TR
ARKEM KIMYA SAN.VE TIC.A.S.	Company	TR
ARKEN ELEKTRIK MUT.ITH.IHR.SAN.VE	Company	TR
ARKON CELIK SAN VE TIC LTD STI	Company	TR
ARLIFT MAKINA SANAYI VE TICARET	Company	TR
ARMADA DUVAR KAGITLARI INSAAT	Company	TR
ARMADA WAY GENERAL TRADING	Company	AE
ARMANHOLDINGS INC.	Company	IN
